text;label
А не посоветуете плиз курсы по библиотекам анализа данных? Или их просто на базовом уровне достаточно знать?;1
А питон разве не надо знать до курса? Не посоветуете курс для быстрого изучения? И нужно ли знать матстат на хорошем уровне?;1
Всем привет! Можете посоветовать какой-нибудь ноутбук/курс или что-то такое, что могло бы помочь решать простенькие задачи NLP. Без углубления в теорию, пока на это времени нет 😢;1
"Всем привет!
Кто-нибудь изучал postgreSQL? Где изучали? Есть ссылки на курсы, книги и тому подобное? Буду благодарен за любую инфу.";1
"Всем привет,
Посоветуйте, кто знает, какие нибудь бесплатные курсы/плейлисты/книги и тд по анализу временных рядов с помощью dl.
Заранее спасибо";1
"Доброго денёчка, подскажите, пожалуйста, кто-то в курсе, где взять нормальный курс (цена- качество) по 3D дженералистике? 
Поюзал пайтон, получил сертификат первый. Вообще не зашло мне. Хочу уйти в графику, может есть советы полезные у кого-то ?";1
"Добрый день!
Какие ещё курсы по pytorch посоветуете.
Ребята советовали Samsung на Степике. Или не размениваться и сразу Курсера от монстров?
При всем уважении к DLS. Мне кажется часть тем, с размерностями тензоров и пр., освещена не очень подробно";1
Друзья, подскажите, пожалуйста, курсы на Степике по Html, Css, JS, подробные и с практикой желательно;1
есть кто знаком с дата кэмпом?какой курс по ml и ds посоветуете ?;1
И какие курсы посоветуете пройти / почитать литературу до курса?;1
Какие курсы можете посоветовать по екселю для аналитиков?;1
Какое минимальное количество курсов можете посоветовать по Data Science из степика и юдеми, чтоб можно стартовать на кеглах?;1
Круто, я тоже планирую платные курсы с платным степиком совсестить. Потому что после прохождения бесплатных пробников на яп, пончяла что курсы нужны для корочки, а знания прицдется искать самостоятельно;1
"Может кто посоветовать :желательно: очные курсы по нейроморфным ML моделям?
Пример названия: «Нейроморфные ML модели» / «Мозг и ML».";1
Может кто-то посоветовать хороший курс на степике для того чтобы была вся база по математике для анализа данных?;1
Может, кто-то видел или может посоветовать курсы, где есть подобные задания и проекты, но на прогнозирование спроса/доставки/необходимого производства тех или иных продуктов. Идеально - для балансовых задач;1
"Подскажите пожалуйста. Я прошел курс для новичков. Стоит ли мне начинать курс для продвинутых? Или вы посоветуете пройти курс от другого автора? Может кто-то подскажет на личном опыте?
Спасибо заранее)";1
Посоветуйте курс или статью по PyQt5, толковую. Все что нахожу - не структурно информацию подает…;1
Посоветуйте, пожалуйста, курсы, по которым можно дальше изучать МО, после прохождения 2 курсов от dls. Чтобы примерно понимать в какую сторону дальше двигаться 🫠;1
Привет! Если чат ещё живой, посоветуйте плиз курсы по big data, может быть, есть зарубежные или за деньги?;1
"Приветствую, дорогие друзья! Подскажите, пожалуйста.
Решила к своему др инвестировать в свое обучение, раз сейчас на Степике скидки на курсы: от Поколения Python (ООП и для профессионалов), а также есть пакет из 8 курсов ""Профессия Python-разработчик"". Кто проходил эти курсы, могли бы вы написать отзыв? И стоит ли брать сейчас, когда я только начинаю курс для продвинутых, параллельно изучая Frontend?";1
"я потерялась в нашей переписке и не могу найти инфу. 
Кажется, я спрашивала у тебя как-то про бесплатные курсы по питону и ML, можешь, пожалуйста, посоветовать что-нибудь?";1
Я тоже с нуля. Планирую в дальнейшем пройти обучения на аналитика данных, этот курс посоветовали  как вариант с чего начать знакомство в этой сфере);1
Привет, хочу сменить род деятельности и пойти в it. Но не могу выбрать направление, может поможет кто советом ?;1
"всем привет! можете пожалуйста подсказать, я учусь на 2 курсе специальности "" компьютерные системы и комплексы"" , очень погрузился в веб разработку, она мне безумно понравилось, сделал свой хороший ( как по мне) сайт , но я хочу дальше развивать это направление и начать зарабатывать, как можно найти клиентов и что-то в этом духе?";1
Доброй ночи. Какие либы вы считаете самыми важными, которые стоило бы учить новичку в рн?;1
"Так я так и делаю. 
Просто курсы там, программирование в целом хоть как-то. 
Вот в направлении не могу определиться, учу всё, что движется, чуть позже будет, ясно, думаю";1
"Короче, самоучка.
Думаю купить слив курсов, не знаю, обман или нет, но рискнуть можно";1
Всем привет, хотел бы поинтересоваться, есть ли курсы в сфере computer science (на ознакомительном уровне) + ии технологий, но не на уровне разработчика, а скорее пользователя или предпринимателя, хотелось бы внедрить в свой бизнес различные технологии, но в этом нет опыта и навыков, хотелось бы научиться видеть возможности внедрения и в будущем брать разработчиков, для этого хотелось бы знать базу этих вещей, чтобы приближенно разговаривать на одном языке со специалистом, возможно 2 отдельных курса;1
привет всем. с кем можно пообщаться по теме веб розроботки. интересует где брать задания для проектов чтоб легко и быстро учится;1
Я только учусь верстать и мне не к кому обратиться по поводу некоторых вопросов. Есть тут люди которые могут на досуге подсказать по поводу адаптивной вёрстки?;1
Что нужно сделать чтобы стать full stack разрабом?;1
Всем доброго дня. Я хочу начать писать бэкэнд, и потом потихоньку переходить на фуллстэк. Времени у меня много, но как начать не знаю. В инете норм информации я как-то не нашел(или плохо искал). В общем, с чего начать учить бэк;1
Здравствуйте, может кто нибудь брал курс full stack или какой нибудь другой курс в  goit, подскажите стоит ли брать ?;1
Добрый день, друзья, немного оффтоп наверное, но что посоветуете в начале пути джангу или фастапи?;1
Ну говорят хорошая книжка, да просто вклиниться хочу в это с нуля без воды, без лишнего, чтобы побольше кейсов с практикой было;1
Что-то сложно. Если так, тогда вопрос, Traefik нормальное сейчас решение для изучения? Где-то пишут HAProxy типо лучше (хабр);1
"Привет! Недавно начал изучать Django — прохожу курс, читаю документацию, смотрю видео. В первое время использовал ИИ для код-ревью, но постепенно стал замечать, что начинаю находить более точные и уместные решения самостоятельно. Смотрел чужие репозитории и простые проекты, но это мало дало. Базовые вещи уже усвоил, а вот в деталях, порой в архитектуре, чистоте кода и поиске оптимальных решений пока не уверен.

Сейчас пишу свой первый проект, активно использую тестирование, документирую свои решения и структуру проекта, стараюсь думать наперёд. Copilot помогает, но, как и положено, остаётся «вторым пилотом». Хочу вырасти до того уровня, где не просто работает, а работает правильно.

Вопрос к тем, кто уже прошёл этот путь: как развиваться дальше? Где искать обратную связь? Как научиться писать действительно чисто и по уму?";1
хочу учиться :);1
"Всем привет!
Готов поучаствовать в Ваших проектах на Джанго";1
Подскажите, на FastAPI делаеться весь бек веб продукта? И сколько нужно учить фронт(React или Vue например) чтобы стать fullstack разработчиком.;1
Моя цель учиться работать в команде и начинать понимать процессы разработки как в реальных ситуациях;1
Как учить Celery? ОТкуда инфу брать;1
"Всем здравствуйте 
Подскажите, по каким источникам лучше изучать drf?";1
Какой проект написать на DRF для резюме на джуна? Какие технологии в идеале там использовать?;1
Здарова парни, подскажите хорош9ий курс Для изучения DRF;1
Посоветуйте есть по qa лекции на youtube но без воды и для девочек?;1
Всем доброго времени суток, изучаю джанго на данный момент имею знание на уровне создание простого crud приложения, но сейчас столкнулся с с такой проблемой - Джанго очень огромный фреймворк очень много информации и в голове просто ничего не задерживается, посоветуйте может для начало выбрать какой нибудь фреймворк по меньше и потом вернуться к Джанго  или как быть посоветуйте пожалуйста?;1
хорошо а есть курсы которые вы бы посоветовали;1
всем привет как начать создавать сайты CSS и HTML знаю плохо но хочу создавать с использованием пайтона;1
В смысле у меня реально ступор, не могу понять с чего начать. Мне не нужна информация, о классах и самом Джанго, больше общие рекомендации.;1
Где бест практис найти;1
"Всем добрый вечер!
Недавно начал заниматься созданием проектов на джанго. В принципе фреймворк достаточно прикольный, есть фишки которые мне нравятся.
Правда есть момент с авторизацией и аутентификацией (JWT) пользователей, то-есть трудно даётся оформление этой системы.
Может кто подсказать какой-то материал который поможет создавать данный функционал без особого труда?";1
я считаю что джанго это может и популярный веб фреймворк на python, но не могу понять как лучше создавать или выбрать тестовые проекты, чтобы по практиковаться;1
Парни, можете посоветовать , какой-нибудь хороший ресурс или книгу для изучения drf;1
Всем привет! Хочу пройти курс по JavaScript за денежку. Не посоветуете конкретный вариант? Особенно интересует курс для тех, кто уже знает бэкенд. ;1
добрый вечер. хотел бы узнать, какой яп лучше всего учить? мне интересен бекенд, и создание приложение. в приоритете бекенд есть ли какие нибудь фри курсы, где действительно годно объясняют мат часть?;1
Можете сказать какие  нибудь бесплатные видеокурсы по фронтенду?;1
Как начать разбираться в сфере айти;1
Всем привет Я начинающий программист,подскажите с чего начать?;1
Всем привет. Меня зовут Кирилл. Есть просьба. Мне 17 лет, учусь в колледже на 2 курсе по специальности Обеспечение информационной безопасности автоматизированных систем. В сфере IT примерно полтора года. Я обучаюсь не только в колледже, но и прохожу различные курсы. Очень хочу попробовать поработать, получить опыт. Если есть в чате которые готовы помочь, там найти стажировку-работу, был бы очень благодарен;1
"Добрый день!
Прошу порекомендовать курсы или переподготовку, профессия Системного аналитика.
К сожалению, базы IT на данный момент нет. Из бэкграунда - прокачанные навыки excel, BPMN, знакома с методологиями разработки.
Сейчас всё пестрит курсами Яндекс Практикума, Skillbox, Нетология и т.д. Возможно, есть что-то не столь популярное, очень хочется взять что-то достойное. Прошу порекомендовать, если проходили что-то по смежным направлениям 🙏";1
"Всем добрый день!! Кто не будь может проходил такие курсы: Python разработчик с нуля от Skypro, python разработчик расширенный курс от нетология, Python разработчик с нуля от Eduson Academy, Python разработчик от слёрм.
Буду рад правдивым отзывам!!
Просто мне оплачивают курсы предложили вот эти на выбор!
Всем за ранние спасибо!";1
Я просто думал может на курсы куда-то записаться или что то типо этого;1
вопрос по материалу в питоне есть ли какой то порядок по изучению? если я щас с основ пойду в дату сайнс;1
Ребят пожалуйста дайте ос. Насчёт онлайн-курсов что действительно из этого помогает, и стоит ли на это тратить время и деньги?;1
предложи какой-то интересный проект, на пайтоне. апи, тг и подобное. спасибо за ваше предложение;1
"Всем привет👋 Подскажите какой бесплатный курс по Python лучше выбрать начинающему программисту? 

И какой редактор кода лучше скачать?";1
"Люди, добрый вечер. 
Хотел бы узнать, что заключается основой или же базовым знанием питона? 
Чтобы хотя бы было понимание. Сделать того же самого простенького бота в тг? 
Ибо не понимаю, с чего именно начать изучение, если это можно так назвать)";1
Ребят, полный ноль в питоне, с чего начинать, какие гайды начать читать или смотреть, чтобы понять основы и так далее;1
Дайте тогда какие нибудь авторитетные онлайн платформы, где есть четкая программа обучения, был бы благодарен, если у вас есть время.;1
Народ кто нибудь вышел разработчиком с skillbox, если да, ответьте пожалуйста, хочу понять стоит ли вообще там учится. Я как бы базу сам начал осваивать, но думаю хорошие онлайн курсы не помешают;1
Привет народ, кто нибудь может дать ссылку на хороший развернутый курс по питону, вся его база. После которой можно будет изучать backbend и frontend. И есть ли дальше после базы хорошие курсы на фулстэк разработчика и все это в бесплатном доступе?;1
Привет всем, дайте материал с базами Пайтона. Я новенький;1
Хочу начать изучать пайтон. Подскажите, с чего начать?;1
Всем привет! Я новичок, который только недавно начал изучать Python. Дайте, пожалуйста, советы для быстрого изучения и понимания этого ЯП. Спасибо!!;1
Так дай ему нормальный курс, если ты знаешь его конечно, который закроет все его вопросы. А сказать скачай слив скилбокса может каждый. Тем более что качество там не факт что окей;1
люди, можете подсказать, я учу неделю HTML/css/js, и хотел бы спросить у вас, а какие теги вообще в целом используются в создании сайтов, ото встал на одном месте, и хз что учить;1
Здравствуйте можете посоветовать видео курс для верстки на html;1
Ну вот я пока не могу определиться, что выбрать js или пт и стек какой там, джанго не джанго,фаст апи, нод жс, микросервисная архитектура. Что там вообще надо знать;1
Знаете курс/книгу с достаточно полным объяснением DRF? Буду рад, если поделитесь, а то я только по азам шарю;1
Хаюшки можете подказать хорошие ресурсы для изучения докера и докер компоса(Я ними работал но не понял их достаточно хорошо), желательно не доку мне показалась она не особо хорошей;1
Думаю взять пока пайтан и js;1
"Может да а так 
все интересно не могу определиться что мое";1
Дайте, пожалуйста, совет: как не потерять мотивацию при изучении программирования? Учусь уже два месяца, но прогресс медленный.;1
React или Vue для новичка? И посоветуйте бесплатные курсы.;1
UX/UI — хочу вкатиться! 😅 С чего начать? Курсы, книги? И как потом с портфолио быть?;1
Вижу кучу курсов по React - от freeCodeCamp до платных вариантов. Есть ли смысл брать дорогие курсы, или можно обойтись бесплатными материалами?;1
Всем добрый вечер! Подскажите, какие темы в Python нужно освоить, чтобы начать работать с API? Хочу попробовать что-то реальное.;1
Всем привет! Как проводить интервью с заказчиком? Постоянно теряюсь, что спрашивать. Есть гайды?;1
Всем привет! Хочу изучить GraphQL для бэкенда. С чего начать? Есть ли хорошие курсы на русском?;1
Всем привет! Хочу изучить фронтенд, но не знаю, с чего начать. Подскажите, какие технологии учить в 2025?;1
Всем привет! Хочу парсить сайты на Python. Scrapy или Requests? Что проще?;1
Всем привет👋 Подскажите какой бесплатный курс по Python лучше выбрать начинающему программисту? И какой редактор кода лучше скачать?;1
Где брать задачи по автоматизации тестирования? Надоели абстрактные примеры.;1
Где брать идеи для пет-проектов?;1
Где взять реальные проекты для портфолио по веб-дизайну? Нет опыта, но хочу начать.;1
Где лучше начинать — вёрстка или сразу фреймворки типа Vue/React?;1
Где найти open-source проекты для новичков?;1
Где найти бесплатные курсы по тестированию?;1
Где найти бесплатные лекции по веб-разработке?;1
Где найти ментора по JavaScript? Учусь, но много вопросов.;1
Где найти ментора по Python для новичка? Пытаюсь учиться, но много вопросов.;1
Где найти стажировку для фронтендера без опыта?;1
Где практиковать автоматизацию тестирования? Нужны реальные проекты, а не абстрактные задачи;1
Где учить Figma для веб-дизайна?;1
Где учить Figma для дизайна интерфейсов?;1
Где учить Selenium для автоматизации тестирования?;1
Где учить TypeScript для фронтенда?;1
Где учить алгоритмы и структуры данных?;1
Добрый вечер! Думаю стать тестировщиком. Что лучше: учить ручное тестирование или сразу автоматизацию на Selenium?;1
Добрый вечер! Как писать тест-кейсы для веб-приложений? Есть ли шаблоны или уроки для новичков?;1
Добрый день! Думаю попробовать Data Science, но я полный ноль. Есть простые уроки или гайды, чтобы вникнуть? Заранее спасибо!;1
Добрый день! Как управлять удаленной командой в IT? Есть ли книги или советы?;1
Добрый день! Кто-то проходил буткемпы по веб-разработке? Реально ли найти работу после них или это просто реклама?;1
Добрый день! Хочу освоить Power BI для бизнес-анализа. Где найти бесплатные уроки?;1
Думаю переквалифицироваться в project manager, но опыта нет вообще. С чего начать учёбу?;1
Как войти в бэкенд? Django или Node.js? И где найти практические задания?;1
Как изучать Docker для backend-разработки?;1
Как изучать Docker для бэкенда?;1
Как лучше изучать React для фронтенда? Стоит ли сразу лезть в хуки или сначала разобраться с классовыми компонентами?;1
Как начать карьеру в IT после 30 лет?;1
Как начать работать с API на Python? Хочу попробовать что-то реальное.;1
Как начать работать с API на практике? Учу теорию, но не понимаю, как применить;1
Как начать работать с базами данных на Python?;1
Как перейти из тестирования в разработку?;1
Как подготовиться к позиции junior PM? Какие методологии (Agile, Scrum, Kanban) нужно знать на базовом уровне?;1
Как понять, что готов к первой работе в IT?;1
Как прокачать soft skills для проджект-менеджера? Хочу в IT, но нет опыта.;1
Как собрать портфолио для UX/UI, если нет коммерческих проектов? Бесплатно делать дизайны для знакомых?;1
Какие CASE-инструменты сейчас актуальны для системного аналитика? Вижу много разных, но не понимаю, с чего начать;1
Какие soft skills нужны проджект-менеджеру в IT? И как их прокачать?;1
Какие книги по Python посоветуете для новичка? Чтобы без воды, только практика.;1
Какие книги по программированию стоит прочитать новичку?;1
Какие курсы по Agile и Scrum посоветуете?;1
Какие навыки нужны для junior backend-разработчика?;1
Какие навыки нужны для junior QA?;1
Какие проекты делать на JavaScript для новичка?;1
Какие проекты на Python сделать для портфолио?;1
Какой минимальный набор инструментов нужно освоить для старта в бизнес-аналитике? И где найти структурированные материалы для обучения?;1
Какой стек технологий выбрать для старта в веб-разработке в 2024? React + Node.js или что-то другое?;1
Какой стек технологий лучше учить в 2025 для fullstack-разработки? И посоветуйте комплексный курс, где всё разложено по полочкам;1
Какой стек технологий нужно освоить для старта в аналитике данных? И в какой последовательности их лучше изучать?;1
Какой язык учить первым: Python или JavaScript?;1
Кто знает, где можно пройти бесплатную стажировку для начинающего фронтендера?;1
Кто нибудь учился на системного аналитика? Есть смысл идти на курсы или самому можно разобраться?;1
Кто-нибудь может объяснить, что такое микросервисная архитектура и стоит ли её изучать новичку?;1
Кто-нибудь может подсказать, где взять проекты на Python, чтобы добавить в портфолио для стажировки?;1
Кто-нибудь проходил курс по аналитике данных на Stepik? Реально полезно или есть что-то лучше? Делитесь опытом!;1
Народ, кто-нибудь учился в SkillFactory? Как вам качество обучения? Думаю записаться, но отзывы очень разные;1
Подскажите, есть ли разница между курсами от Skypro и GeekBrains? Хочу выбрать что-то одно, но не могу определиться.;1
Подскажите, какие языки нужно знать, чтобы уверенно работать во фронтенде?;1
посоветуйте, как быстро освоить основы Python?;1
Привет всем! Как мотивировать команду разработчиков? Есть ли статьи или курсы?;1
Привет всем! Хочу начать учить Python, но не знаю, с чего стартовать. Посоветуйте курсы или книги, чтобы прям для новичков!;1
Привет всем! Хочу стать проджект-менеджером в IT. С чего начать: курсы или практика? Посоветуйте!;1
Привет! Подскажите, как начать изучение JavaScript с нуля? Может, есть проверенные курсы?;1
Привет! Учу Python 4 месяца, хочу дальше расти. Что лучше: углубляться в язык или уже пробовать проекты?;1
Привет! Хочу изучить асинхронное программирование в Python. Где найти уроки?;1
Привет! Хочу изучить фронтенд, но не знаю, с чего начать. HTML/CSS → JavaScript → React? Или есть другой путь?;1
Привет! Хочу освоить frontend, но не знаю, с чего лучше: HTML/CSS или сразу JavaScript? Подскажите, плиз!;1
Привет! Хочу стать системным аналитиком. Какие инструменты, кроме UML, нужно знать? Делитесь советами!;1
Привет! Я только начал изучать IT, подскажите, какие навыки нужно прокачать в первую очередь, чтобы попасть на стажировку?;1
Привет, народ! Учу веб-дизайн, но не знаю, с чего начать: Figma или Photoshop? Что посоветуете?;1
Привет, народ! Хочу изучить SSR для веб-приложений. С чего начать? Есть курсы или статьи?;1
Привет, ребята! Хочу стать системным аналитиком. Нужно ли знать программирование или хватит SQL и BPMN?;1
Ребят, подскажите, стоит ли идти на курсы от Нетологии или лучше учиться самому? Хочу стать Python-разработчиком, но не понимаю, что выбрать.;1
Ребята, подскажите! Учу Python, хочу попробовать ML. Какие библиотеки учить: TensorFlow или PyTorch? Что проще для новичка?;1
С чего начать изучение тестирования, если нет IT-образования? Какая последовательность тем оптимальна для новичка?;1
Сколько времени нужно, чтобы выучить Python на базовом уровне?;1
Слишком много курсов по Python, а что реально годное и с практикой? Посоветуйте 🙏;1
Стоит ли идти на курсы по тестированию или лучше самому учить Selenium?;1
Стоит ли начинать с WordPress, если хочу в веб-разработку, или лучше сразу погружаться в чистый код?;1
Учу программирование, но сложно запомнить синтаксис. Как быстрее освоить азы и не бросить? Делитесь лайфхаками!;1
Хочу делать адаптивные сайты. С чего начать: CSS Grid или Flexbox? Где найти нормальные уроки?;1
Хочу изучить FastAPI, но не знаю, с чего начать. Можете дать советы или ссылки на материалы?;1
Хочу изучить React, но не понимаю, с чего начать. Посоветуйте ресурсы.;1
Хочу проектировать адаптивный дизайн. Какие принципы важны и где их изучить?;1
Хочу стать веб-дизайнером. С чего начать?;1
Хочу стать системным аналитиком. С чего начать, если опыта в IT нет? Нужны курсы или книги?;1
Я учу Python уже месяц, но чувствую, что топчусь на месте. Какие проекты можно сделать для практики, чтобы закрепить знания?;1
Backend-разработка на Go интересует, но не знаю, насколько сложно. Что посоветуете новичку?;1
Node.js — сложно для новичка? Или лучше начать с Python?;1
Всем добрый вечер! Хочу изучить ArchiMate для моделирования. Есть ли курсы на русском?;1
Всем добрый вечер! Хочу перейти в IT из другой сферы. Какие курсы или ресурсы помогут сделать это максимально безболезненно?;1
Всем добрый день! Кто-нибудь проходил курсы по Data Science на Stepik? Стоит ли туда идти или есть варианты лучше?;1
Всем добрый день! Кто не будь может проходил такие курсы: Python разработчик с нуля от Skypro, python разработчик расширенный курс от нетология, Python разработчик с нуля от Eduson Academy, Python разработчик от слёрм. Буду рад правдивым отзывам!! Просто мне оплачивают курсы предложили вот эти на выбор! Всем за ранние спасибо!;1
Всем привет! Работаю менеджером, хочу уйти в IT. С чего начать? Какие курсы посоветуете, чтобы быстро освоить базу?;1
Всем привет! Хочу начать изучать Python, но не знаю, с чего начать. Можете посоветовать хорошие бесплатные курсы или книги для новичков?;1
Где найти ментора по веб-разработке? Учусь, но много вопросов.;1
Где найти стажировку для начинающего разработчика?;1
Где практиковать SQL? Нужны реальные задачи.;1
Где учить REST API для backend?;1
Где учить REST API для бэкенда?;1
Где учить TypeScript? Хочу подтянуть знания.;1
Где учить алгоритмы для бэкенда? Хочу понять основы.;1
Добрый вечер! Думаю уйти из маркетинга в IT. Какие навыки сейчас в тренде, чтобы устроиться на junior позицию?;1
Добрый вечер! Как использовать Python для анализа данных? Посоветуйте библиотеки и курсы!;1
Добрый день! В системном анализе не понимаю, как работать с REST API. Где почитать для новичков?;1
Добрый день! Хочу изучить тестирование безопасности. Какие курсы или книги посоветуете?;1
Добрый день! Хочу освоить Kanban для управления проектами. Где найти уроки?;1
Добрый день! Хочу стать дата-аналитиком. С чего начать: SQL, Python или Excel? Где искать материалы? Спасибо!;1
Добрый день! Прошу порекомендовать курсы или переподготовку, профессия Системного аналитика. К сожалению, базы IT на данный момент нет. Из бэкграунда - прокачанные навыки excel, BPMN, знакома с методологиями разработки. Сейчас всё пестрит курсами Яндекс Практикума, Skillbox, Нетология и т.д. Возможно, есть что-то не столь популярное, очень хочется взять что-то достойное. Прошу порекомендовать, если проходили что-то по смежным направлениям 🙏;1
Думаю стать бизнес-аналитиком в IT. Какие навыки нужны, кроме Excel? Где учиться?;1
